SN,Text,Person,Organization,Geo-Political Entity,Nationalities/Religious/Political Groups,Date,Time,Money,Percent,Facility,Product,Work of Art,Language,Event,Law,Ordinal,Cardinal
1,"Geeeee ... Your internet is really bad today, eh ?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Yeah got sch. Later got astro. You wanna ask hongling? She wanna buystuff too.,Hongling,-,-,-,-,-,-,-,-,-,-,-,Astro,-,-,-
3,"Dear Sadiq, your debit card ending with 6248 has been locked. If this is not you; reach out to us via chat on Liv app or WhatsApp at +971600521212 to report fraud.",Sadiq,Liv app,-,-,-,-,-,-,-,Debit card,-,-,-,-,-,"6248, +971600521212"
4,"Dear customer, your balance is getting low. To recharge online visit www.etisalat.ae/quickpay or download My Etisalat UAE app www.etisalat.ae/downloadtheapp",-,Etisalat,UAE,-,-,-,-,-,-,My Etisalat UAE app,-,-,-,-,-,-
5,Something wrong? We can call if you want love,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,594526 is your Link verification code.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,594526
7,Greetings from Shadowfax! You have been reactivated. You can now start doing orders using the Shadowfax App. Contact your manager if you need any help.,-,Shadowfax,-,-,-,-,-,-,-,Shadowfax App,-,-,Reactivation of account,-,-,-
8,"""Offer 7566XXX163 ke liye!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7566XXX163
9,IMPS Fund transfer of Rs.20.00 successfully credited to your A/C XXXXXX0828 with RRN No.210017117081 dated 10-04-22.Amt received from ZOMATO LIMITED having A/C No.XXXXXX2078. JK BANK,-,"ZOMATO LIMITED, JK BANK",-,-,10/04/2022,-,Rs.20.00,-,-,-,-,-,-,-,-,"210017117081, 0828, 2078"
10,Enjoy any Iced Beverage for AED 8 from ADNOC Barista range. Check VOUCHERS section and redeem. Valid only for this month. T&Cs. stop B AD-ADNOCRWD 7726,-,ADNOC,-,-,this month,-,AED8,-,-,Iced Beverage,-,-,-,-,-,-
11,"No. I.ll meet you in the library,,,",-,-,-,-,-,-,-,-,Library,-,-,-,Meeting,-,-,-
12,"Congrats 63693822XX,",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63693822
13,Ard 530 lor. I ok then message ? lor.,-,-,-,-,-,-,-,-,-,-,-,-,Messaging,-,-,530
14,Planning to open a zero balance savings account?Open an instant and paperless Kotak 811 Bank Account in 5 minutes: http://kotk.in/81ZGOA T&C Apply -Kbank.,-,"Kotak 811 Bank, Kbank",-,-,-,-,-,-,-,Zero balance savings account,-,-,-,-,-,-
15,"Your Nectar code is 868044. Please do not share this code with anyone, even a member of our team.",-,Nectar,-,-,-,-,-,-,-,Code,-,-,-,-,-,868044
16,"Purchase of AED 5.00 with Debit Card ending 6248 at MASAFI CO LLC, ABU DHABI. Avl Balance is AED 347.66.",-,MASAFI CO LLC,Abu Dhabi,-,-,-,AED5.00,-,-,Debit Card,-,-,-,-,-,"6248, 347.66"
17,OK sure next time then.. my class is from  <#>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,"INR 500 debited from A/c **2983 (UPI/DR/211188900828/SONU/SBIN/) Bal (70885.08)21-04-2022 18:29:58. If transaction is unauthorized, SMS ""BLOCK A/c No"" or ""BLOCK ALL"" to 8828837411 and click ""https://punjabandsindbank.co.in/module/complaint-lodge-grievence"" to lodge a complaint. Punjab & Sind Bank",Sonu,Punjab & Sind Bank,-,-,21/04/2022,18:29:58,INR 500,-,-,-,-,-,-,-,-,"2983, 70885.08, 211188900828, 8828837411"
19,Apto call bhi nhi utha rahe ho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,jay chaow? he is the kind of RnB in   asia,jay chaow,-,Asia,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Eh tml movie wanna change to watch all well ends well? Got  <DECIMAL> slot lol,-,-,-,-,-,<DECIMAL>,-,-,-,Movie,All Well Ends Well,-,-,-,-,-
22,Lol both night owl sure die... haha I overslept on the mrt and goback one station lo! Sianz super late le! Lol...,-,-,-,-,-,-,-,-,MRT,-,-,-,-,-,-,One
23,"yes, i noe,same here. but exams comin..hav to spend more time studyin...less time to meet up le :( u jus started ah?thn go and study loh,i dun wanna disturb c:",-,-,-,-,-,-,-,-,-,-,-,-,Exams,-,-,-
24,"You MISSED 1 Call(s) from +97142786400, last call: 15 Sep 2024 at 10:53 PM.Get 25% off on courses! Subscribe today: https://bit.ly/3YwkZzm",-,-,-,-,15-Sep-24,10:53 PM,-,25%,-,Courses,-,-,-,-,-,97142786400
25,"Cool cool, we're in the ling department",-,Ling Department,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,"For balance & account info, you can WhatsApp us at https://wa.me/message/MO724F5OXQQCO1",-,WhatsApp,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,"*SECURITY WARNING* The one-time code you requested will arrive shortly. If someone's calling you and asking for a code, please end the call because they DO NOT work for O2. If you suspect fraud, call us on 202 so we can protect your account.",-,O2,-,-,-,-,-,-,-,-,-,-,-,-,-,202
28,"Dear Customer, Your a/c no. XXXXXXXX6618 is credited by Rs.30.00 on 10-03-22 by a/c linked to mobile 9XXXXXX999-ZOMATO LIMITED (IMPS Ref no 206901009859).If not done by you, call 1800111109. -SBI",-,Zomato Limited,-,-,10/03/2022,-,Rs.30,-,IMPS,-,-,-,-,-,-,"6618, 206901009859, 1800111109"
29,"http://nmc.sg/eyGgCX""",-,nmc,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,"Yep, can detect rgbyk but i need to kope the raw values tmr",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
